Trading day,Type,Count
2020-03-20,Buy,100.0
2020-04-01,Buy,100.0
2020-04-03,Buy,100.0
2020-04-06,Buy,100.0
2020-04-13,Buy,100.0
2020-04-14,Buy,100.0
2020-04-21,Buy,100.0
2020-04-22,Buy,100.0
2020-04-27,Buy,100.0
2020-05-01,Buy,100.0
2020-05-11,Buy,100.0
2020-05-12,Buy,100.0
2020-05-13,Buy,100.0
2020-05-18,Buy,100.0
2020-05-22,Buy,100.0
2020-05-26,Buy,100.0
2020-05-27,Buy,100.0
2020-05-28,Buy,25.0
2020-05-28,Sell,75.0
2020-05-29,Buy,100.0
2020-06-01,Buy,100.0
2020-06-02,Buy,100.0
2020-06-04,Buy,90.9090909090909
2020-06-04,Sell,9.090909090909092
2020-06-05,Buy,40.0
2020-06-05,Sell,60.0
2020-06-08,Buy,76.47058823529412
2020-06-08,Sell,23.529411764705884
2020-06-09,Buy,77.77777777777777
2020-06-09,Sell,22.22222222222222
2020-06-10,Buy,91.66666666666667
2020-06-10,Sell,8.333333333333334
2020-06-11,Buy,57.142857142857146
2020-06-11,Sell,42.857142857142854
2020-06-12,Buy,100.0
2020-06-17,Buy,100.0
2020-06-19,Buy,100.0
2020-06-22,Buy,66.66666666666667
2020-06-22,Sell,33.333333333333336
2020-06-23,Buy,50.0
2020-06-23,Sell,50.0
2020-06-24,Sell,100.0
2020-06-25,Sell,100.0
2020-06-26,Buy,50.0
2020-06-26,Sell,50.0
2020-06-29,Buy,25.0
2020-06-29,Sell,75.0
2020-06-30,Buy,100.0
2020-07-02,Sell,100.0
2020-07-06,Buy,80.0
2020-07-06,Sell,20.0
2020-07-07,Buy,100.0
2020-07-08,Buy,100.0
2020-07-09,Buy,100.0
2020-07-10,Buy,50.0
2020-07-10,Sell,50.0
2020-07-13,Buy,100.0
2020-07-14,Buy,100.0
2020-07-15,Buy,37.5
2020-07-15,Sell,62.5
2020-07-16,Buy,100.0
2020-07-17,Buy,100.0
2020-07-20,Buy,40.0
2020-07-20,Sell,60.0
2020-07-21,Buy,71.42857142857143
2020-07-21,Sell,28.571428571428573
2020-07-22,Buy,66.66666666666667
2020-07-22,Sell,33.333333333333336
2020-07-23,Buy,57.142857142857146
2020-07-23,Sell,42.857142857142854
2020-07-24,Buy,66.66666666666667
2020-07-24,Sell,33.333333333333336
2020-07-27,Buy,60.0
2020-07-27,Sell,40.0
2020-07-28,Buy,75.0
2020-07-28,Sell,25.0
2020-07-29,Buy,100.0
2020-08-04,Buy,75.0
2020-08-04,Sell,25.0
2020-08-05,Buy,75.0
2020-08-05,Sell,25.0
2020-08-06,Sell,100.0
2020-08-07,Buy,75.0
2020-08-07,Sell,25.0
2020-08-10,Sell,100.0
2020-08-11,Buy,77.77777777777777
2020-08-11,Sell,22.22222222222222
2020-08-12,Buy,50.0
2020-08-12,Sell,50.0
2020-08-14,Buy,100.0
2020-08-17,Buy,75.0
2020-08-17,Sell,25.0
2020-08-18,Buy,25.0
2020-08-18,Sell,75.0
2020-08-19,Buy,100.0
2020-08-20,Buy,50.0
2020-08-20,Sell,50.0
2020-08-21,Buy,50.0
2020-08-21,Sell,50.0
2020-08-24,Buy,66.66666666666667
2020-08-24,Sell,33.333333333333336
2020-08-25,Buy,83.33333333333333
2020-08-25,Sell,16.666666666666668
2020-08-26,Buy,33.333333333333336
2020-08-26,Sell,66.66666666666667
2020-08-27,Buy,57.142857142857146
2020-08-27,Sell,42.857142857142854
2020-08-28,Buy,75.0
2020-08-28,Sell,25.0
2020-08-31,Buy,84.21052631578948
2020-08-31,Sell,15.789473684210526
2020-09-01,Buy,75.86206896551724
2020-09-01,Sell,24.137931034482758
2020-09-02,Buy,47.82608695652174
2020-09-02,Sell,52.17391304347826
2020-09-03,Buy,61.53846153846154
2020-09-03,Sell,38.46153846153846
2020-09-04,Buy,79.3103448275862
2020-09-04,Sell,20.689655172413794
2020-09-07,Buy,33.333333333333336
2020-09-07,Sell,66.66666666666667
2020-09-08,Buy,60.0
2020-09-08,Sell,40.0
2020-09-09,Buy,69.56521739130434
2020-09-09,Sell,30.434782608695652
2020-09-10,Buy,65.85365853658537
2020-09-10,Sell,34.146341463414636
2020-09-11,Buy,92.3076923076923
2020-09-11,Sell,7.6923076923076925
2020-09-14,Buy,79.06976744186046
2020-09-14,Sell,20.930232558139537
2020-09-15,Buy,73.84615384615384
2020-09-15,Sell,26.153846153846153
2020-09-16,Buy,76.0
2020-09-16,Sell,24.0
2020-09-17,Buy,100.0
2020-09-18,Buy,86.36363636363636
2020-09-18,Sell,13.636363636363637
2020-09-21,Buy,73.33333333333333
2020-09-21,Sell,26.666666666666668
2020-09-22,Buy,75.0
2020-09-22,Sell,25.0
2020-09-23,Buy,42.857142857142854
2020-09-23,Sell,57.142857142857146
2020-09-24,Buy,50.0
2020-09-24,Sell,50.0
2020-09-25,Buy,50.0
2020-09-25,Sell,50.0
2020-09-29,Buy,100.0
2020-09-30,Sell,100.0
2020-10-06,Buy,100.0
2020-10-07,Buy,100.0
2020-10-12,Buy,100.0
2020-10-15,Buy,57.142857142857146
2020-10-15,Sell,42.857142857142854
2020-10-16,Buy,77.77777777777777
2020-10-16,Sell,22.22222222222222
2020-10-19,Buy,100.0
2020-10-20,Buy,100.0
2020-10-21,Buy,100.0
2020-10-22,Sell,100.0
2020-10-23,Buy,100.0
2020-10-26,Sell,100.0
2020-10-27,Buy,100.0
2020-10-28,Sell,100.0
2020-10-30,Sell,100.0
2020-11-06,Buy,100.0
2020-11-09,Buy,77.27272727272727
2020-11-09,Sell,22.727272727272727
2020-11-10,Buy,78.26086956521739
2020-11-10,Sell,21.73913043478261
2020-11-11,Buy,55.55555555555556
2020-11-11,Sell,44.44444444444444
2020-11-12,Buy,62.5
2020-11-12,Sell,37.5
2020-11-13,Buy,66.66666666666667
2020-11-13,Sell,33.333333333333336
2020-11-16,Buy,58.333333333333336
2020-11-16,Sell,41.666666666666664
2020-11-17,Buy,68.75
2020-11-17,Sell,31.25
2020-11-18,Buy,83.33333333333333
2020-11-18,Sell,16.666666666666668
2020-11-19,Buy,77.27272727272727
2020-11-19,Sell,22.727272727272727
2020-11-20,Buy,60.0
2020-11-20,Sell,40.0
2020-11-23,Buy,100.0
2020-11-27,Buy,100.0
2020-11-30,Buy,76.92307692307692
2020-11-30,Sell,23.076923076923077
2020-12-01,Buy,70.0
2020-12-01,Sell,30.0
2020-12-02,Buy,75.67567567567568
2020-12-02,Sell,24.324324324324323
2020-12-03,Buy,100.0
2020-12-07,Buy,87.5
2020-12-07,Sell,12.5
2020-12-08,Buy,80.0
2020-12-08,Sell,20.0
2020-12-09,Buy,62.96296296296296
2020-12-09,Sell,37.03703703703704
2020-12-10,Buy,75.0
2020-12-10,Sell,25.0
2020-12-11,Buy,20.0
2020-12-11,Sell,80.0
2020-12-14,Buy,100.0
2020-12-15,Buy,100.0
2020-12-16,Buy,57.142857142857146
2020-12-16,Sell,42.857142857142854
2020-12-17,Buy,75.0
2020-12-17,Sell,25.0
2020-12-18,Buy,100.0
2020-12-21,Buy,85.71428571428571
2020-12-21,Sell,14.285714285714286
2020-12-22,Buy,100.0
2020-12-23,Buy,100.0
2020-12-24,Buy,100.0
2020-12-28,Buy,83.33333333333333
2020-12-28,Sell,16.666666666666668
2020-12-29,Buy,83.33333333333333
2020-12-29,Sell,16.666666666666668
2020-12-30,Buy,66.66666666666667
2020-12-30,Sell,33.333333333333336
2020-12-31,Buy,55.0
2020-12-31,Sell,45.0
2021-01-04,Buy,58.333333333333336
2021-01-04,Sell,41.666666666666664
2021-01-05,Buy,100.0
2021-01-06,Buy,83.33333333333333
2021-01-06,Sell,16.666666666666668
2021-01-07,Buy,78.57142857142857
2021-01-07,Sell,21.428571428571427
2021-01-08,Buy,68.42105263157895
2021-01-08,Sell,31.57894736842105
2021-01-11,Buy,85.0
2021-01-11,Sell,15.0
