ISIN,Ticker Symbol,Shares,Exchange rate,Result,Total amount,Withholding tax,Currency (Withholding tax),Charge amount (GBP),Stamp duty (GBP),Stamp duty reserve tax (GBP),Transaction fee (GBP),Notes,Order ID,French transaction tax,Execution_Price,Trading day,Trading time,Type,Price,Sector,Industry,Name
GB00BDR05C01,NG,1,100,,9.19,,,,,0.05,,,EOF155067316,,914.6,20/03/2020,09:53:00,Buy,9.146,Utilities,Utilities—Regulated Electric,National Grid
US2546871060,DIS,1,1.17811,,81.56,,,,,,,,EOF155260423,,96.09,20/03/2020,13:30:00,Buy,81.56284218,Communication Services,Entertainment,Walt Disney
US92826C8394,V,0.58,1.17818,,75.88,,,,,,,,EOF155268762,,154.15,20/03/2020,13:31:00,Buy,130.8373933,Financial Services,Credit Services,Visa
US2473617023,DAL,1,1.23997,,20.16,,,,,,,,EOF164893808,,25,04/01/2020,15:24:00,Buy,20.16177811,Industrials,Airlines,Delta Air Lines
US2473617023,DAL,5,1.23917,,97.32,,,,,,,,EOF164951873,,24.12,04/01/2020,16:14:00,Buy,19.46464166,Industrials,Airlines,Delta Air Lines
US2473617023,DAL,2,1.22116,,35.81,,,,,,,,EOF166934313,,21.87,04/03/2020,15:53:00,Buy,17.90920109,Industrials,Airlines,Delta Air Lines
NL0000235190,AIR,3,1.13391,,143.29,,,,,,,,EOF167385225,0.43,54,04/06/2020,07:04:00,Buy,47.62282721,Industrials,Aerospace & Defense,Airbus
US02376R1023,AAL,4,1.24904,,40.09,,,,,,,,EOF172712517,,12.52,13/04/2020,13:32:00,Buy,10.0236982,Industrials,Airlines,American Airlines
US46131B1008,IVR,16,1.24855,,48.43,,,,,,,,EOF172746968,,3.78,13/04/2020,13:36:00,Buy,3.027511914,Real Estate,REIT—Mortgage,Invesco Mortgage Capital
US5658491064,MRO,10,1.24885,,33.87,,,,,,,,EOF172750863,,4.23,13/04/2020,13:37:00,Buy,3.387116147,Energy,Oil & Gas E&P,Marathon Oil
GB0006215205,NEX,10,100,,27.09,,,,0.13,,,,EOF173470032,,269.6,14/04/2020,07:00:00,Buy,2.696,Industrials,Railroads,National Express Group
US46131B1008,IVR,10,1.22785,,23.37,,,,,,,,EOF181515840,,2.87,21/04/2020,13:30:00,Buy,2.337419066,Real Estate,REIT—Mortgage,Invesco Mortgage Capital
US02376R1023,AAL,3,1.23234,,25.56,,,,,,,,EOF183752181,,10.5,22/04/2020,14:58:00,Buy,8.52037587,Industrials,Airlines,American Airlines
NL0000235190,AIR,1,1.14479,,44.08,,,,,,,,EOF188446611,,50.47,27/04/2020,14:21:00,Buy,44.08668839,Industrials,Aerospace & Defense,Airbus
GB0032089863,NXT,1,100,,47.24,,,,,0.24,,,EOF195378452,,4700,05/01/2020,07:15:00,Buy,47,Consumer Cyclical,Apparel Retail,Next
GB00B03MM408,RDSB,4,100,,50.3,,,,,0.25,,,EOF205635405,,1251.4,05/11/2020,09:03:00,Buy,12.514,Energy,Oil & Gas Integrated,Royal Dutch Shell
IE0005042456,ISF,9,100,,52.48,,,,,,,,EOF205637640,,583.2,05/11/2020,09:04:00,Buy,5.832,Uncategorised,Uncategorised,iShares Core FTSE 100
US0530151036,ADP,0.2,1.23217,,23.48,,,,,,,,EOF206139309,,144.71,05/11/2020,13:32:00,Buy,117.4432099,Industrials,Staffing & Employment Services,Automatic Data Processing
US5246601075,LEG,2,1.2276,,45.63,,,,,,,,EOF208675097,,28.01,05/12/2020,17:41:00,Buy,22.81687846,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Leggett & Platt
GB0006215205,NEX,7,100,,14.28,,,,,0.07,,,EOF209192061,,203,13/05/2020,07:23:00,Buy,2.03,Industrials,Railroads,National Express Group
GB00B1KJJ408,WTB,0.5,100,,13.03,,,,,0.06,,,EOF209205108,,2595,13/05/2020,07:29:00,Buy,25.95,Consumer Cyclical,Restaurants,Whitbread
US46131B1008,IVR,3,1.22228,,6.15,,,,,,,,EOF210282605,,2.51,13/05/2020,15:41:00,Buy,2.053539287,Real Estate,REIT—Mortgage,Invesco Mortgage Capital
US0970231058,BA,0.4,1.22216,,39.46,,,,,,,,EOF210464072,,120.57,13/05/2020,16:42:00,Buy,98.65320416,Industrials,Aerospace & Defense,Boeing
US2473617023,DAL,3,1.22179,,48.22,,,,,,,,EOF210666822,,19.64,13/05/2020,18:55:00,Buy,16.07477553,Industrials,Airlines,Delta Air Lines
US95040Q1040,WELL,0.28,1.21912,,10.32,,,,,,,,EOF216387290,,44.96,18/05/2020,16:07:00,Buy,36.87906031,Real Estate,REIT—Healthcare Facilities,Welltower
US95040Q1040,WELL,1,1.2181,,38.11,,,,,,,,EOF223160271,,46.43,22/05/2020,13:30:00,Buy,38.11673918,Real Estate,REIT—Healthcare Facilities,Welltower
US7561091049,O,1,1.21752,,42.4,,,,,,,,EOF223210639,,51.63,22/05/2020,13:34:00,Buy,42.40587424,Real Estate,REIT—Retail,Realty Income
GB0002634946,BA.,10,100,,50.93,,,,,0.25,,,EOF224872259,,506.8,26/05/2020,07:00:00,Buy,5.068,Industrials,Aerospace & Defense,BAE Systems
GB00B1KJJ408,WTB,1,100,,24.02,,,,,0.12,,,EOF224908569,,2390,26/05/2020,07:02:00,Buy,23.9,Consumer Cyclical,Restaurants,Whitbread
GB00BN7CG237,AML,140,100,,68.94,,,,,0.34,,,EOF224930822,,49,26/05/2020,07:05:00,Buy,0.49,Consumer Cyclical,Auto Manufacturers,Aston Martin
US5021751020,LTC,0.05,1.23345,,1.53,,,,,,,,EOF226124971,,37.85,26/05/2020,13:49:00,Buy,30.68628643,Real Estate,REIT—Healthcare Facilities,LTC Properties
GB00BZBX0P70,GYM,20,100,,29.15,,,,,0.15,,,EOF227220403,,145,27/05/2020,07:00:00,Buy,1.45,Consumer Cyclical,Leisure,Gym Group
GB00B15FWH70,CINE,80,100,,56.4,,,,,0.28,,,EOF227236780,,70.16,27/05/2020,07:01:00,Buy,0.7016,Communication Services,Entertainment,Cineworld Group
GB00B1722W11,JET2,4,100,,33.56,,,,,,,,EOF227246824,,839,27/05/2020,07:02:00,Buy,8.39,Consumer Cyclical,Travel Services,Jet2
US0311621009,AMGN,0.028,1.22584,,5.03,,,,,,,,EOF228413173,,220.28,27/05/2020,13:37:00,Buy,179.6971872,Healthcare,Drug Manufacturers—General,Amgen
GB0006215205,NEX,22,100,,49.44,,,,0.25,,,,EOF229782852,,223.6,28/05/2020,07:06:00,Buy,2.236,Industrials,Railroads,National Express Group
GB00BZBX0P70,GYM,10,100,2.84,17.34,,,,,,,,EOF230013125,,173.4,28/05/2020,08:16:00,Sell,1.734,Consumer Cyclical,Leisure,Gym Group
GB0032089863,NXT,1,100,2.95,49.95,,,,,,,,EOF230017028,,4995,28/05/2020,08:18:00,Sell,49.95,Consumer Cyclical,Apparel Retail,Next
GB00B15FWH70,CINE,30,100,7.01,28.06,,,,,,,,EOF230041271,,93.54,28/05/2020,08:27:00,Sell,0.9354,Communication Services,Entertainment,Cineworld Group
NL0000235190,AIR,4,1.11307,28.88,215.83,,,,,,,,EOF230260255,,60.06,28/05/2020,10:03:00,Sell,53.95887051,Industrials,Aerospace & Defense,Airbus
US46131B1008,IVR,20,1.2297,,48.46,,,,,,,,EOF230614352,,2.98,28/05/2020,13:30:00,Buy,2.42335529,Real Estate,REIT—Mortgage,Invesco Mortgage Capital
US0970231058,BA,0.2,1.23006,5.64,25.36,,,,,,,,EOF230667895,,156.03,28/05/2020,13:31:00,Sell,126.8474709,Industrials,Aerospace & Defense,Boeing
US2473617023,DAL,2,1.22995,6.01,42.65,,,,,,,,EOF230671252,,26.23,28/05/2020,13:31:00,Sell,21.32607017,Industrials,Airlines,Delta Air Lines
NL0000235190,AIR,2,1.10641,,104.78,,,,,,,,EOF232242584,,57.97,29/05/2020,09:07:00,Buy,52.3946819,Industrials,Aerospace & Defense,Airbus
US01609W1027,BABA,1,1.23404,,162.06,,,,,,,,EOF232655802,,200,29/05/2020,13:30:00,Buy,162.0693008,Consumer Cyclical,Internet Retail,Alibaba
US7427181091,PG,1,1.23696,,93.37,,,,,,,,EOF233054048,,115.5,29/05/2020,14:52:00,Buy,93.37407839,Consumer Defensive,Household & Personal Products,Procter & Gamble
US08862E1091,BYND,0.25,1.23167,,25.06,,,,,,,,EOF233108284,,123.48,29/05/2020,15:10:00,Buy,100.2541265,Consumer Defensive,Packaged Foods,Beyond Meat
GB0002634946,BA.,10,100,,49.79,,,,,0.25,,,EOF233144392,,495.4,29/05/2020,15:23:00,Buy,4.954,Industrials,Aerospace & Defense,BAE Systems
GB00BD0NVK62,BOWL,40,100,,73.57,,,,0.37,,,,EOF234036982,,183,06/01/2020,07:05:00,Buy,1.83,Consumer Cyclical,Leisure,Hollywood Bowl Group
GB00B63QSB39,GRG,4,100,,74.97,,,,,0.37,,,EOF234326695,,1865,06/01/2020,09:19:00,Buy,18.65,Consumer Defensive,Grocery Stores,Greggs
DE0002635299,EXSH,2,1.12625,,25.05,,,,,,,,EOF235894038,,14.1,06/02/2020,07:05:00,Buy,12.51942286,Uncategorised,Uncategorised,iShares STOXX Europe Select Dividend 30
GB00BVDPPV41,RBG,300,100,,100.7,,,,,0.5,,,EOF236890713,,33.4,06/02/2020,13:55:00,Buy,0.334,Consumer Cyclical,Restaurants,Revolution Bars Group
GB00B63QSB39,GRG,21,100,,398.04,,,,1.98,,,,EOF240376303,,1886,06/04/2020,07:00:00,Buy,18.86,Consumer Defensive,Grocery Stores,Visa
GB00BZBX0P70,GYM,225,100,,404.76,,,,2.01,,,,EOF240390684,,179,06/04/2020,07:00:00,Buy,1.79,Consumer Cyclical,Leisure,Greggs
GB0006731235,ABF,20,100,,391.25,,,,1.95,,,,EOF240391988,,1946.5,06/04/2020,07:00:00,Buy,19.465,Consumer Defensive,Packaged Foods,Gym Group
GB00BN7CG237,AML,600,100,,404.01,,,,2.01,,,,EOF240483492,,67,06/04/2020,07:04:00,Buy,0.67,Consumer Cyclical,Auto Manufacturers,Associated British Foods
GB00BD0NVK62,BOWL,225,100,,397.98,,,,1.98,,,,EOF240683900,,176,06/04/2020,08:03:00,Buy,1.76,Consumer Cyclical,Leisure,Aston Martin
GB0032360173,HGM,20,100,,47.68,,,,,,,,EOF240849355,,238.4,06/04/2020,09:14:00,Buy,2.384,Uncategorised,Uncategorised,Hollywood Bowl Group
US37229T3014,GNUS,60,1.25357,,490.6,,,,,,,,EOF241540909,,10.25,06/04/2020,13:40:00,Buy,8.176647495,Communication Services,Entertainment,Highland Gold Mining
US98420U7037,XSPA,70,1.26091,,104.92,,,,,,,,EOF242404102,,1.89,06/04/2020,16:30:00,Buy,1.498917449,Consumer Cyclical,Personal Services,Genius Brands
US37229T3014,GNUS,10,1.25997,,46.43,,,,,,,,EOF242556836,,5.85,06/04/2020,17:30:00,Buy,4.64296769,Communication Services,Entertainment,XpresSpa
US98420U7037,XSPA,70,1.26024,5.06,109.98,,,,,,,,EOF242565055,,1.98,06/04/2020,17:33:00,Sell,1.571129309,Consumer Cyclical,Personal Services,Genius Brands
US98420U7037,XSPA,30,1.26037,,50.7,,,,,,,,EOF242594764,,2.13,06/04/2020,17:42:00,Buy,1.689979927,Consumer Cyclical,Personal Services,XpresSpa
GB00BVDPPV41,RBG,250,100,,63.32,,,,,0.32,,,EOF243300352,,25.2,06/05/2020,07:11:00,Buy,0.252,Consumer Cyclical,Restaurants,XpresSpa
US98420U7037,XSPA,30,1.26978,11.67,62.37,,,,,,,,EOF244575920,,2.64,06/05/2020,13:38:00,Sell,2.079100317,Consumer Cyclical,Personal Services,Revolution Bars Group
US88160R1014,TSLA,0.08,1.26954,,54.93,,,,,,,,EOF245087913,,871.7,06/05/2020,14:28:00,Buy,686.6266522,Consumer Cyclical,Auto Manufacturers,XpresSpa
US02376R1023,AAL,4,1.26703,20.82,58.34,,,,,,,,EOF246176142,,18.48,06/05/2020,18:59:00,Sell,14.58529001,Industrials,Airlines,Tesla
US2473617023,DAL,7,1.26729,62.38,190.62,,,,,,,,EOF246187496,,34.51,06/05/2020,19:03:00,Sell,27.23133616,Industrials,Airlines,American Airlines
GB00BVDPPV41,RBG,160,100,,52.9,,,,,0.26,,,EOF247030159,,32.9,06/08/2020,07:07:00,Buy,0.329,Consumer Cyclical,Restaurants,Delta Air Lines
GB00B0130H42,ITM,20,100,,57.9,,,,,,,,EOF247165068,,289.5,06/08/2020,07:24:00,Buy,2.895,Technology,Electronic Components,Revolution Bars Group
GB00B0130H42,ITM,30,100,,95.1,,,,,,,,EOF247286067,,317,06/08/2020,07:46:00,Buy,3.17,Technology,Electronic Components,ITM Power
GB00B0130H42,ITM,50,100,7.75,160.75,,,,,,,,EOF247362254,,321.5,06/08/2020,08:03:00,Sell,3.215,Technology,Electronic Components,ITM Power
GB00BZBX0P70,GYM,235,100,8.1,425.35,,,,,,,,EOF248351403,,181,06/08/2020,12:55:00,Sell,1.81,Consumer Cyclical,Leisure,ITM Power
US03743Q1085,APA,12,1.26842,,161.77,,,,,,,,EOF248724726,,17.1,06/08/2020,13:39:00,Buy,13.48133899,Energy,Oil & Gas E&P,Gym Group
US83088V1026,WORK,4,1.26881,,98.01,,,,,,,,EOF248786961,,31.09,06/08/2020,13:42:00,Buy,24.50327472,Technology,Software—Application,APA Corp.
GB00BZBX0P70,GYM,50,100,,89.45,,,,0.45,,,,EOF248930563,,178,06/08/2020,13:52:00,Buy,1.78,Consumer Cyclical,Leisure,Slack
US0970231058,BA,1,1.26897,,180.46,,,,,,,,EOF249060614,,229,06/08/2020,14:04:00,Buy,180.461319,Industrials,Aerospace & Defense,Gym Group
GB00B0130H42,ITM,50,100,,135.5,,,,,,,,EOF249309851,,271,06/08/2020,14:31:00,Buy,2.71,Technology,Electronic Components,Boeing
US0028241000,ABT,0.699277,1.26863,,50,,,,,,,,EOF249324419,,90.71,06/08/2020,14:33:00,Buy,71.50232928,Healthcare,Medical Devices,ITM Power
GB00BD0NVK62,BOWL,265,100,21.05,490.25,,,,,,,,EOF249439611,,185,06/08/2020,14:46:00,Sell,1.85,Consumer Cyclical,Leisure,Abbott Laboratories
GB00BD0NVK62,BOWL,26,100,,48.08,,,,0.24,,,,EOF249499360,,184,06/08/2020,14:53:00,Buy,1.84,Consumer Cyclical,Leisure,Hollywood Bowl Group
GB00BD0NVK62,BOWL,90,100,,159.19,,,,0.79,,,,EOF249516009,,176,06/08/2020,14:55:00,Buy,1.76,Consumer Cyclical,Leisure,Hollywood Bowl Group
GB00B0130H42,ITM,50,100,15.5,151,,,,,,,,EOF249708708,,302,06/08/2020,15:23:00,Sell,3.02,Technology,Electronic Components,Hollywood Bowl Group
GB00B10RZP78,ULVR,2.26347786,100,,100,,,,,0.5,,,EOF249747779,,4396,06/08/2020,15:29:00,Buy,43.96,Consumer Defensive,Household & Personal Products,ITM Power
US4523271090,ILMN,1,1.27117,,281.38,,,,,,,,EOF250254830,,357.68,06/08/2020,17:38:00,Buy,281.3785725,Healthcare,Diagnostics & Research,Unilever
GB00B0130H42,ITM,35,100,,99.23,,,,,,,,EOF251176158,,283.5,06/09/2020,07:13:00,Buy,2.835,Technology,Electronic Components,Illumina
GB0032089863,NXT,0.4557644,100,,25,,,,,0.12,,,EOF251241083,,5458,06/09/2020,07:26:00,Buy,54.58,Consumer Cyclical,Apparel Retail,ITM Power
GB0006731235,ABF,20,100,19.9,409.2,,,,,,,,EOF251333660,,2046,06/09/2020,07:43:00,Sell,20.46,Consumer Defensive,Packaged Foods,Next
GB00B1KJJ408,WTB,1,100,2.62,27.2,,,,,,,,EOF251341314,,2720,06/09/2020,07:44:00,Sell,27.2,Consumer Cyclical,Restaurants,Associated British Foods
NL0000235190,AIR,2,1.12534,35.61,140.4,,,,,,,,EOF251364949,,79,06/09/2020,07:49:00,Sell,70.20100592,Industrials,Aerospace & Defense,Whitbread
GB00B1KJJ408,WTB,11.05992819,100,,300,,,,,1.49,,,EOF251802387,,2699,06/09/2020,09:46:00,Buy,26.99,Consumer Cyclical,Restaurants,Airbus
NL0000235190,AIR,1,1.12218,,67.73,,,,,,,,EOF251860134,,76,06/09/2020,10:14:00,Buy,67.72532036,Industrials,Aerospace & Defense,Whitbread
GB00B10RZP78,ULVR,1.14581397,100,,50,,,,,0.25,,,EOF252011252,,4342,06/09/2020,11:34:00,Buy,43.42,Consumer Defensive,Household & Personal Products,Airbus
GB00B1KJJ408,WTB,4,100,,107.62,,,,0.54,,,,EOF252013426,,2677,06/09/2020,11:35:00,Buy,26.77,Consumer Cyclical,Restaurants,Unilever
GB0006731235,ABF,2,100,,41.81,,,,0.21,,,,EOF252015216,,2080,06/09/2020,11:36:00,Buy,20.8,Consumer Defensive,Packaged Foods,Whitbread
GB0000536739,AHT,2,100,,51.4,,,,0.26,,,,EOF252048221,,2557,06/09/2020,11:51:00,Buy,25.57,Industrials,Rental & Leasing Services,Associated British Foods
GB00B1KJJ408,WTB,2,100,,53.95,,,,,0.27,,,EOF252179327,,2684,06/09/2020,13:00:00,Buy,26.84,Consumer Cyclical,Restaurants,Ashtead Group
GB00BN7CG237,AML,455,100,60.99,350.35,,,,,,,,EOF252209797,,77,06/09/2020,13:18:00,Sell,0.77,Consumer Cyclical,Auto Manufacturers,Whitbread
US57636Q1040,MA,0.2053015,1.26978,,50,,,,,,,,EOF252658353,,309.25,06/09/2020,13:55:00,Buy,243.5461261,Financial Services,Credit Services,Aston Martin
US03743Q1085,APA,2,1.27188,,25.91,,,,,,,,EOF253091923,,16.48,06/09/2020,14:56:00,Buy,12.95719722,Energy,Oil & Gas E&P,Mastercard
US83088V1026,WORK,2.02121,1.27214,,50,,,,,,,,EOF253110756,,31.47,06/09/2020,14:59:00,Buy,24.73784332,Technology,Software—Application,APA Corp.
GB00B63QSB39,GRG,5.72511432,100,,100,,,,,0.5,,,EOF253125041,,1738,06/09/2020,15:02:00,Buy,17.38,Consumer Defensive,Grocery Stores,Slack
GB00B0130H42,ITM,18.2815356,100,,50,,,,,,,,EOF253157056,,273.5,06/09/2020,15:08:00,Buy,2.735,Technology,Electronic Components,Greggs
GB00B1KJJ408,WTB,1.84332134,100,,50,,,,,0.25,,,EOF254223532,,2699,06/10/2020,07:16:00,Buy,26.99,Consumer Cyclical,Restaurants,ITM Power
GB00B1KJJ408,WTB,1.93283772,100,,50,,,,,0.25,,,EOF254521094,,2574,06/10/2020,09:32:00,Buy,25.74,Consumer Cyclical,Restaurants,Whitbread
GB00BBQ38507,KWS,1,100,,16.81,,,,,,,,EOF254530816,,1681,06/10/2020,09:36:00,Buy,16.81,Communication Services,Electronic Gaming & Multimedia,Whitbread
GB0006731235,ABF,2.44477852,100,,50,,,,,0.25,,,EOF254612627,,2035,06/10/2020,10:16:00,Buy,20.35,Consumer Defensive,Packaged Foods,Keywords Studios
GB00BZBX0P70,GYM,29.6845125,100,,50,,,,,0.25,,,EOF254674587,,167.6,06/10/2020,10:49:00,Buy,1.676,Consumer Cyclical,Leisure,Associated British Foods
GB00B0130H42,ITM,16.2601626,100,,50,,,,,,,,EOF254683995,,307.5,06/10/2020,10:55:00,Buy,3.075,Technology,Electronic Components,Gym Group
US30303M1027,FB,0.1065155,1.27776,,20,,,,,,,,EOF255005590,,239.92,06/10/2020,13:31:00,Buy,187.7660907,Communication Services,Internet Content & Information,ITM Power
US2473617023,DAL,0.788629,1.27758,,20,,,,,,,,EOF255032186,,32.4,06/10/2020,13:32:00,Buy,25.3604471,Industrials,Airlines,Facebook
PA1436583006,CCL,1,1.27719,,17.15,,,,,,,,EOF255053172,,21.9,06/10/2020,13:34:00,Buy,17.14701806,Consumer Cyclical,Travel Services,Delta Air Lines
US02376R1023,AAL,3.808751,1.27517,,50,,,,,,,,EOF255169434,,16.74,06/10/2020,13:43:00,Buy,13.12766141,Industrials,Airlines,Carnival
GB00B0130H42,ITM,69,100,23.47,221.15,,,,,,,,EOF255926753,,320.5,06/10/2020,15:28:00,Sell,3.205,Technology,Electronic Components,American Airlines
US8522341036,SQ,0.693436,1.28063,,50,,,,,,,,EOF256404059,,92.34,06/10/2020,18:20:00,Buy,72.10513575,Technology,Software—Infrastructure,ITM Power
GB00BZBX0P70,GYM,30,100,,48.3,,,,,0.24,,,EOF256954759,,160.2,06/11/2020,07:06:00,Buy,1.602,Consumer Cyclical,Leisure,Square
GB00B15FWH70,CINE,60,100,,48.78,,,,,0.24,,,EOF256958490,,80.9,06/11/2020,07:06:00,Buy,0.809,Communication Services,Entertainment,Gym Group
GB0002634946,BA.,5,100,,25.87,,,,,0.13,,,EOF256976694,,514.8,06/11/2020,07:08:00,Buy,5.148,Industrials,Aerospace & Defense,Cineworld Group
GB00BVDPPV41,RBG,80,100,,20.18,,,,,0.1,,,EOF257000168,,25.1,06/11/2020,07:12:00,Buy,0.251,Consumer Cyclical,Restaurants,BAE Systems
GB0032089863,NXT,0.5,100,,25.06,,,,,0.12,,,EOF257020874,,4987,06/11/2020,07:16:00,Buy,49.87,Consumer Cyclical,Apparel Retail,Revolution Bars Group
IE00B3VVMM84,VFEM,0.5,1,,21.3,,,,,,,,EOF257026874,,42.6,06/11/2020,07:17:00,Buy,42.6,Uncategorised,Uncategorised,Next
GB00B1KJJ408,WTB,4.254061,100,,100,,,,,0.5,,,EOF257214881,,2339,06/11/2020,08:16:00,Buy,23.39,Consumer Cyclical,Restaurants,Vanguard FTSE Emerging Markets
GB0002634946,BA.,25,100,3.69,129.65,,,,,,,,EOF257221746,,518.6,06/11/2020,08:18:00,Sell,5.186,Industrials,Aerospace & Defense,Whitbread
GB00BN7CG237,AML,72.051039,100,,50,,,,,0.25,,,EOF257236810,,69.05,06/11/2020,08:25:00,Buy,0.6905,Consumer Cyclical,Auto Manufacturers,BAE Systems
GB0005603997,LGEN,66,100,,150.11,,,,,0.75,,,EOF257405996,,226.3,06/11/2020,09:29:00,Buy,2.263,Financial Services,Insurance—Life,Aston Martin
GB00BD0NVK62,BOWL,30.2439167,100,,50,,,,,0.25,,,EOF257588338,,164.5,06/11/2020,11:11:00,Buy,1.645,Consumer Cyclical,Leisure,Legal & General Group
GB00B15FWH70,CINE,65.410521,100,,50,,,,,0.25,,,EOF257789674,,76.06,06/11/2020,12:42:00,Buy,0.7606,Communication Services,Entertainment,Hollywood Bowl Group
US46131B1008,IVR,25,1.26359,22.15,86.66,,,,,,,,EOF258947063,,4.38,06/11/2020,16:04:00,Sell,3.466314232,Real Estate,REIT—Mortgage,Cineworld Group
US08862E1091,BYND,0.25,1.25922,3.07,28.13,,,,,,,,EOF259502824,,141.68,06/11/2020,19:20:00,Sell,112.514096,Consumer Defensive,Packaged Foods,Invesco Mortgage Capital
US92826C8394,V,0.58,1.25913,11.45,87.34,,,,,,,,EOF259506458,,189.6,06/11/2020,19:21:00,Sell,150.5801625,Financial Services,Credit Services,Beyond Meat
US2546871060,DIS,1,1.25893,7.85,89.41,,,,,,,,EOF259514396,,112.56,06/11/2020,19:24:00,Sell,89.40926024,Communication Services,Entertainment,Visa
US2473617023,DAL,0.788629,1.25893,0.89,16.91,,,,,,,,EOF259518641,,27,06/11/2020,19:25:00,Sell,21.44678417,Industrials,Airlines,Walt Disney
US01609W1027,BABA,1,1.25885,7.83,169.9,,,,,,,,EOF259520941,,213.88,06/11/2020,19:25:00,Sell,169.9011002,Consumer Cyclical,Internet Retail,Delta Air Lines
US5658491064,MRO,5,1.25893,8.04,24.98,,,,,,,,EOF259528886,,6.29,06/11/2020,19:27:00,Sell,4.996306387,Energy,Oil & Gas E&P,Alibaba
US5246601075,LEG,1,1.25904,3.6,26.42,,,,,,,,EOF259538446,,33.27,06/11/2020,19:30:00,Sell,26.42489516,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Marathon Oil
US83088V1026,WORK,1,1.259,,23.62,,,,,,,,EOF259564541,,29.74,06/11/2020,19:39:00,Buy,23.62192216,Technology,Software—Application,Leggett & Platt
GB0006731235,ABF,5.16359558,100,,100,,,,,0.5,,,EOF260764366,,1927,06/12/2020,12:13:00,Buy,19.27,Consumer Defensive,Packaged Foods,Slack
GB00B1KJJ408,WTB,2,100,,47.92,,,,,0.24,,,EOF260771955,,2384,06/12/2020,12:17:00,Buy,23.84,Consumer Cyclical,Restaurants,Associated British Foods
GB0032089863,NXT,1,100,,50.75,,,,,0.25,,,EOF260779971,,5050,06/12/2020,12:21:00,Buy,50.5,Consumer Cyclical,Apparel Retail,Whitbread
GB00B63QSB39,GRG,6,100,,99.74,,,,,0.5,,,EOF260783681,,1654,06/12/2020,12:24:00,Buy,16.54,Consumer Defensive,Grocery Stores,Next
US8522341036,SQ,0.709945,1.25902,,50,,,,,,,,EOF260990665,,88.67,06/12/2020,13:32:00,Buy,70.42779305,Technology,Software—Infrastructure,Greggs
GB00B63QSB39,GRG,3,100,,49.51,,,,,0.25,,,EOF261607472,,1642,06/12/2020,15:03:00,Buy,16.42,Consumer Defensive,Grocery Stores,Square
GB0002634946,BA.,18,100,,91.31,,,,,0.45,,,EOF261612038,,504.8,06/12/2020,15:03:00,Buy,5.048,Industrials,Aerospace & Defense,Greggs
US92826C8394,V,0.3,1.25275,,45.57,,,,,,,,EOF261621707,,190.28,06/12/2020,15:05:00,Buy,151.8898423,Financial Services,Credit Services,BAE Systems
US8522341036,SQ,1,1.25316,,68.16,,,,,,,,EOF261625439,,85.42,06/12/2020,15:05:00,Buy,68.16368221,Technology,Software—Infrastructure,Visa
US37229T3014,GNUS,16,1.25349,,49.65,,,,,,,,EOF261640210,,3.89,06/12/2020,15:08:00,Buy,3.103335487,Communication Services,Entertainment,Square
US08862E1091,BYND,0.4,1.25008,,46.17,,,,,,,,EOF262212815,,144.28,06/12/2020,19:03:00,Buy,115.4166133,Consumer Defensive,Packaged Foods,Genius Brands
GB00BD0NVK62,BOWL,30,100,,51.1,,,,0.25,,,,EOF267655107,,169.5,17/06/2020,07:07:00,Buy,1.695,Consumer Cyclical,Leisure,Beyond Meat
US87663X1028,TTCF,3,1.23845,,44.4,,,,,,,,EOF272659598,,18.33,19/06/2020,13:35:00,Buy,14.80075901,Uncategorised,Uncategorised,Hollywood Bowl Group
US87663X1028,TTCF,1,1.23831,,14.37,,,,,,,,EOF272841491,,17.8,19/06/2020,14:03:00,Buy,14.37442967,Uncategorised,Uncategorised,Realty Income
US0378331005,AAPL,0.15,1.23535,,42.09,,,,,,,,EOF273535919,,346.61,19/06/2020,18:07:00,Buy,280.5763549,Technology,Consumer Electronics,Tattooed Chef
GB0000536739,AHT,2,100,4.14,55.28,,,,,,,,EOF274419263,,2764,22/06/2020,09:10:00,Sell,27.64,Industrials,Rental & Leasing Services,Tattooed Chef
US95040Q1040,WELL,1,1.23975,,41.65,,,,,,,,EOF275000883,,51.63,22/06/2020,13:35:00,Buy,41.64549304,Real Estate,REIT—Healthcare Facilities,Apple
US0378331005,AAPL,0.2,1.24675,,57.33,,,,,,,,EOF276004193,,357.4,22/06/2020,18:27:00,Buy,286.6653299,Technology,Consumer Electronics,Ashtead Group
GB00B1KJJ408,WTB,4,100,,98.21,,,,,0.49,,,EOF277090646,,2443,23/06/2020,13:04:00,Buy,24.43,Consumer Cyclical,Restaurants,Welltower
US37229T3014,GNUS,23,1.24847,-110.11,46.79,,,,,,,,EOF277285824,,2.54,23/06/2020,13:38:00,Sell,2.034490216,Communication Services,Entertainment,Apple
US8522341036,SQ,2.403381,1.2422,24.89,193.05,,,,,,,,EOF280139880,,99.78,24/06/2020,15:42:00,Sell,80.32522943,Technology,Software—Infrastructure,Whitbread
GB00BBQ38507,KWS,1,100,0.99,17.8,,,,,,,,EOF281370718,,1780,25/06/2020,10:11:00,Sell,17.8,Communication Services,Electronic Gaming & Multimedia,Genius Brands
