,week_start,Trading day,Trading_time,Count,Buy Count,Sell Count,pct_buy
85,22-06-2020,Friday,14:00,2,2.0,0.0,1.0
86,22-06-2020,Friday,15:00,3,0.0,3.0,0.0
87,22-06-2020,Friday,16:00,4,0.0,4.0,0.0
88,22-06-2020,Monday,09:00,1,0.0,1.0,0.0
89,22-06-2020,Monday,13:00,1,1.0,0.0,1.0
90,22-06-2020,Monday,18:00,1,1.0,0.0,1.0
91,22-06-2020,Thursday,10:00,1,0.0,1.0,0.0
92,22-06-2020,Tuesday,13:00,2,1.0,1.0,0.5
93,22-06-2020,Wednesday,15:00,1,0.0,1.0,0.0
94,29-06-2020,Monday,12:00,1,0.0,1.0,0.0
95,29-06-2020,Monday,13:00,3,1.0,2.0,0.3333333333333333
96,29-06-2020,Thursday,11:00,1,0.0,1.0,0.0
97,29-06-2020,Tuesday,17:00,1,1.0,0.0,1.0
98,06-07-2020,Friday,09:00,1,0.0,1.0,0.0
99,06-07-2020,Friday,15:00,1,1.0,0.0,1.0
100,06-07-2020,Monday,13:00,2,1.0,1.0,0.5
101,06-07-2020,Monday,17:00,1,1.0,0.0,1.0
102,06-07-2020,Monday,18:00,2,2.0,0.0,1.0
103,06-07-2020,Thursday,07:00,1,1.0,0.0,1.0
104,06-07-2020,Tuesday,14:00,3,3.0,0.0,1.0
105,06-07-2020,Wednesday,11:00,1,1.0,0.0,1.0
106,13-07-2020,Friday,08:00,1,1.0,0.0,1.0
107,13-07-2020,Friday,11:00,1,1.0,0.0,1.0
108,13-07-2020,Friday,12:00,1,1.0,0.0,1.0
109,13-07-2020,Friday,13:00,2,2.0,0.0,1.0
110,13-07-2020,Monday,07:00,1,1.0,0.0,1.0
111,13-07-2020,Monday,13:00,1,1.0,0.0,1.0
112,13-07-2020,Thursday,12:00,1,1.0,0.0,1.0
113,13-07-2020,Thursday,13:00,1,1.0,0.0,1.0
114,13-07-2020,Thursday,14:00,2,2.0,0.0,1.0
115,13-07-2020,Thursday,15:00,1,1.0,0.0,1.0
116,13-07-2020,Tuesday,07:00,1,1.0,0.0,1.0
117,13-07-2020,Tuesday,09:00,3,3.0,0.0,1.0
118,13-07-2020,Tuesday,10:00,1,1.0,0.0,1.0
119,13-07-2020,Tuesday,13:00,1,1.0,0.0,1.0
120,13-07-2020,Tuesday,14:00,1,1.0,0.0,1.0
121,13-07-2020,Wednesday,07:00,2,0.0,2.0,0.0
122,13-07-2020,Wednesday,08:00,1,0.0,1.0,0.0
123,13-07-2020,Wednesday,10:00,1,1.0,0.0,1.0
124,13-07-2020,Wednesday,11:00,2,1.0,1.0,0.5
125,13-07-2020,Wednesday,13:00,1,0.0,1.0,0.0
126,13-07-2020,Wednesday,14:00,1,1.0,0.0,1.0
127,20-07-2020,Friday,07:00,1,0.0,1.0,0.0
128,20-07-2020,Friday,08:00,1,1.0,0.0,1.0
129,20-07-2020,Friday,10:00,1,0.0,1.0,0.0
130,20-07-2020,Friday,13:00,2,2.0,0.0,1.0
131,20-07-2020,Friday,15:00,1,1.0,0.0,1.0
132,20-07-2020,Monday,08:00,1,1.0,0.0,1.0
133,20-07-2020,Monday,09:00,1,0.0,1.0,0.0
134,20-07-2020,Monday,11:00,1,0.0,1.0,0.0
135,20-07-2020,Monday,14:00,1,1.0,0.0,1.0
136,20-07-2020,Monday,17:00,1,0.0,1.0,0.0
137,20-07-2020,Thursday,07:00,1,0.0,1.0,0.0
138,20-07-2020,Thursday,08:00,1,0.0,1.0,0.0
139,20-07-2020,Thursday,13:00,1,0.0,1.0,0.0
140,20-07-2020,Thursday,14:00,1,1.0,0.0,1.0
141,20-07-2020,Thursday,16:00,1,1.0,0.0,1.0
142,20-07-2020,Thursday,18:00,2,2.0,0.0,1.0
143,20-07-2020,Tuesday,08:00,2,2.0,0.0,1.0
144,20-07-2020,Tuesday,11:00,2,0.0,2.0,0.0
145,20-07-2020,Tuesday,13:00,2,2.0,0.0,1.0
146,20-07-2020,Tuesday,14:00,1,1.0,0.0,1.0
147,20-07-2020,Wednesday,09:00,1,1.0,0.0,1.0
148,20-07-2020,Wednesday,10:00,1,1.0,0.0,1.0
149,20-07-2020,Wednesday,11:00,1,0.0,1.0,0.0
150,27-07-2020,Monday,07:00,2,1.0,1.0,0.5
151,27-07-2020,Monday,08:00,2,2.0,0.0,1.0
152,27-07-2020,Monday,11:00,1,0.0,1.0,0.0
153,27-07-2020,Tuesday,07:00,1,1.0,0.0,1.0
154,27-07-2020,Tuesday,08:00,1,1.0,0.0,1.0
155,27-07-2020,Tuesday,09:00,1,0.0,1.0,0.0
156,27-07-2020,Tuesday,13:00,1,1.0,0.0,1.0
157,27-07-2020,Wednesday,11:00,1,1.0,0.0,1.0
158,03-08-2020,Friday,10:00,1,1.0,0.0,1.0
159,03-08-2020,Friday,12:00,1,1.0,0.0,1.0
160,03-08-2020,Friday,13:00,1,0.0,1.0,0.0
161,03-08-2020,Friday,18:00,1,1.0,0.0,1.0
162,03-08-2020,Thursday,13:00,2,0.0,2.0,0.0
163,03-08-2020,Tuesday,14:00,2,1.0,1.0,0.5
164,03-08-2020,Tuesday,15:00,2,2.0,0.0,1.0
165,03-08-2020,Wednesday,07:00,1,1.0,0.0,1.0
166,03-08-2020,Wednesday,08:00,1,1.0,0.0,1.0
167,03-08-2020,Wednesday,11:00,1,1.0,0.0,1.0
168,03-08-2020,Wednesday,15:00,1,0.0,1.0,0.0
169,10-08-2020,Friday,11:00,1,1.0,0.0,1.0
170,10-08-2020,Friday,13:00,1,1.0,0.0,1.0
171,10-08-2020,Friday,14:00,1,1.0,0.0,1.0
172,10-08-2020,Monday,14:00,1,0.0,1.0,0.0
173,10-08-2020,Tuesday,08:00,1,1.0,0.0,1.0
